gene,term,UniqueGene
A4GALT,Sphingolipid Metabolism,Unique
A4GNT,O-Glycan Biosynthesis,Unique
AACS,Ketone Bodies Metabolism,In multiple Pathways
AACS,Fatty Acid Biosynthesis,In multiple Pathways
AADAC,Fatty Acid Metabolism,In multiple Pathways
AADAC,Xenobiotics Metabolism,In multiple Pathways
AADAT,Tryptophan metabolism,In multiple Pathways
AADAT,Lysine Metabolism,In multiple Pathways
AASS,Lysine Metabolism,Unique
ABAT,GABA shunt,Unique
ABCA1,Cholesterol Metabolism,Unique
ABCB11,Bile Acid Biosynthesis,Unique
ABCB4,Multidrug resistance,In multiple Pathways
ABCB4,Glycerophospholipid Metabolism,In multiple Pathways
ABCC1,Multidrug resistance,In multiple Pathways
ABCC1,Steroid Metabolism,In multiple Pathways
ABCC3,Bile Acid Biosynthesis,In multiple Pathways
ABCC3,Multidrug resistance,In multiple Pathways
ABCC4,Multidrug resistance,In multiple Pathways
ABCC4,Nucleotide Metabolism,In multiple Pathways
ABCC4,Eicosanoid Metabolism,In multiple Pathways
ABCC4,Steroid Metabolism,In multiple Pathways
ABO,Blood Group Biosynthesis,Unique
ABP1,Arginine and Proline Metabolism,In multiple Pathways
ABP1,Histidine Metabolism,In multiple Pathways
ABP1,Tryptophan metabolism,In multiple Pathways
ABP1,Tyrosine metabolism,In multiple Pathways
ABP1,Urea Cycle,In multiple Pathways
ABP1,Phenylalanine metabolism,In multiple Pathways
ABP1,beta-Alanine metabolism,In multiple Pathways
ACAA1,"Fatty Acids Oxidation, peroxisomal",Unique
ACACA,Fatty Acid Biosynthesis,Unique
ACACB,Fatty Acid Biosynthesis,Unique
ACAD10,"Fatty Acids Oxidation, mitochondrial",Unique
ACAD11,"Fatty Acids Oxidation, mitochondrial",Unique
ACAD8,"Valine, Leucine and Isoleucine Metabolism",Unique
ACAD9,"Fatty Acids Oxidation, mitochondrial",Unique
ACADM,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
ACADM,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ACADS,"Fatty Acids Oxidation, mitochondrial",Unique
ACADSB,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
ACADSB,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ACAT1,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
ACAT1,Ketone Bodies Metabolism,In multiple Pathways
ACAT2,Ketone Bodies Metabolism,Unique
ACHE,Glycerophospholipid Metabolism,Unique
ACLY,Citric Acid Cycle,Unique
ACMSD,Tryptophan metabolism,Unique
ACO1,Citric Acid Cycle,Unique
ACO2,Citric Acid Cycle,Unique
ACOT12,Ketone Bodies Metabolism,Unique
ACOT2,"Fatty Acids Oxidation, mitochondrial",Unique
ACOT8,"Fatty Acids Oxidation, peroxisomal",Unique
ACOX1,"Fatty Acids Oxidation, peroxisomal",Unique
ACOX2,Bile Acid Biosynthesis,Unique
ACOX3,"Fatty Acids Oxidation, peroxisomal",Unique
ACP1,Riboflavin Metabolism,Unique
ACP2,Riboflavin Metabolism,Unique
ACSL1,Fatty Acid Metabolism,Unique
ACSL3,Fatty Acid Metabolism,Unique
ACSL4,Fatty Acid Metabolism,Unique
ACSL5,Fatty Acid Metabolism,Unique
ACSM1,"Fatty Acids Oxidation, mitochondrial",Unique
ACSS1,Citric Acid Cycle,In multiple Pathways
ACSS1,Ketone Bodies Metabolism,In multiple Pathways
ACSS2,Ketone Bodies Metabolism,In multiple Pathways
ACSS2,Citric Acid Cycle,In multiple Pathways
ACY1,Urea Cycle,In multiple Pathways
ACY1,Methionine Metabolism,In multiple Pathways
ACY1,Glutamate metabolism,In multiple Pathways
ACY3,Alanine and Aspartate Metabolism,Unique
ACYP1,Glycolysis and Gluconeogenesis,Unique
ACYP2,Glycolysis and Gluconeogenesis,Unique
ADA,Purine Metabolism,Unique
ADC,Polyamines Metabolism,Unique
ADCY1,Cyclic Nucleotides Metabolism,Unique
ADCY10,Cyclic Nucleotides Metabolism,Unique
ADCY2,Cyclic Nucleotides Metabolism,Unique
ADCY3,Cyclic Nucleotides Metabolism,Unique
ADCY4,Cyclic Nucleotides Metabolism,Unique
ADCY5,Cyclic Nucleotides Metabolism,Unique
ADCY6,Cyclic Nucleotides Metabolism,Unique
ADCY7,Cyclic Nucleotides Metabolism,Unique
ADCY8,Cyclic Nucleotides Metabolism,Unique
ADCY9,Cyclic Nucleotides Metabolism,Unique
